Location of Tumour biopsied	location_curated	tissue_group_curated
Abdominal	abdominal	abdominal
Abdominal mass	abdominal	abdominal
Abdominal Peritoneum	peritoneum	peritoneum
Abdominal Peritoneum LUQ-LLQ	peritoneum	peritoneum
Abdominal peritoneum RLQ	peritoneum	peritoneum
Abdominal Peritoneum R-LQ	peritoneum	peritoneum
Abdominal Peritoneum R-Lq	peritoneum	peritoneum
Abdominal peritoneum RUQ	peritoneum	peritoneum
Abdominal Peritoneum Ruq	peritoneum	peritoneum
Abdominal Peritoneum; Liver	abdominal	abdominal
Abdominal Peritoneum; Omentum	abdominal	abdominal
Abdominal Peritoneum; Omentum; Pelvic Peritoneum; Rectum; Sigmoid; Bladder; Uterus	uncertain	uncertain
Abdominal Wall	abdominal	abdominal
Adnexal Mass	gynae	pelvic
Anterior abdominal wall	peritoneum	peritoneum
Axillary Lymph Node	lymph_node	lymph_node
Bladder	bladder	pelvic
Bowel	bowel	abdominal
Bowel and Omentum	abdominal	abdominal
Bowel; Omentum	abdominal	abdominal
Brain	brain	other
Brain Frontotemporal Lobe	brain	other
Brain Occipital Lobe	brain	other
Brain Parietal Lobe	brain	other
Breast core biopsy	breast	other
Breast Core Biopsy	breast	other
Bx of umbilicus	abdominal	abdominal
Central Peritoneum	peritoneum	peritoneum
Cervical cone Bx	gynae	pelvic
Cervical node	lymph_node	lymph_node
Cervix	gynae	pelvic
Chest Wall	chest	other
Chest wall	chest	other
Colic Fixture Bowel	bowel	abdominal
Colon	colon	abdominal
Colon Descending	colon	abdominal
Colon Polyp	colon	abdominal
Colonic polyp	colon	abdominal
Cystic part of tumour	uncertain	uncertain
Descending colon	colon	abdominal
Diaphragm	diaphragm	abdominal
Diaphragmatic surface	diaphragm	abdominal
Diaphragmatic Surface	diaphragm	abdominal
Diaphragmatic Surface; Liver; Omentum; Pelvic Lymph Node; Pelvic Peritoneum	uncertain	uncertain
Distal Fallopian Tube	ovary_FT	pelvic
Duodenum	bowel	abdominal
ENDOMETRIAL	gynae	pelvic
Endometrial Bx	gynae	pelvic
Endometrium	gynae	pelvic
External Iliac Lymph Node	lymph_node	lymph_node
Fallopian Tube	ovary_FT	pelvic
Fallopian Tube; Small Bowel	pelvis	pelvic
Fallopian Tube; Uterus; Peritoneum; Bladder	pelvis	pelvic
FT	ovary_FT	pelvic
FT/OV	ovary_FT	pelvic
Groin Lymph Node	lymph_node	lymph_node
Iliac Fossa	abdominal	abdominal
Iliac lymph Node	lymph_node	lymph_node
Iliac Lymph Node	lymph_node	lymph_node
Incisional biopsy abdomen	abdominal	abdominal
Inguinal Lymph Node	lymph_node	lymph_node
Left anterior abdominal wall	peritoneum	peritoneum
Left aortic node	lymph_node	lymph_node
Left Aortic Node	lymph_node	lymph_node
Left axillary lymph node	lymph_node	lymph_node
Left Axillary Lymph Node	lymph_node	lymph_node
Left breast core	breast	other
Left flank peritoneal	peritoneum	peritoneum
Left groin	pelvis	pelvic
left Groin nodes	lymph_node	lymph_node
Left inguinal node 	lymph_node	lymph_node
left obturator lymph node	lymph_node	lymph_node
Left Obturator Lymph Node	lymph_node	lymph_node
Left ovarian mass	ovary_FT	pelvic
Left Ovary	ovary_FT	pelvic
Left ovary and FT	ovary_FT	pelvic
Left pelvic mass	pelvis	pelvic
Left supraclavical node	lymph_node	lymph_node
Left supra-clavicular node	lymph_node	lymph_node
Left tube and small bowel	pelvis	pelvic
Lesion from left round ligament	pelvis	pelvic
Liver	liver	abdominal
LN	lymph_node	lymph_node
Lung	chest	other
Lymph node	lymph_node	lymph_node
Lymph Node	lymph_node	lymph_node
Lymph node from bifurcation of left common iliac	lymph_node	lymph_node
Lymph Nodule	lymph_node	lymph_node
Mass in bladder	bladder	pelvic
Mesenteric deposits	peritoneum	peritoneum
Mesenteric Lymph Node	lymph_node	lymph_node
Mesenteric mass	peritoneum	peritoneum
Mesenteric node	peritoneum	peritoneum
Mesentery	peritoneum	peritoneum
midline parcardiac	chest	other
Muscle	muscle	other
nodule from left posterior pouch of douglas	lymph_node	lymph_node
Nodule from transverse colon mesentery	peritoneum	peritoneum
Omental nodule	lymph_node	lymph_node
Omentum	omentum	abdominal
Omentum; Pelvic Peritoneum	pelvis	pelvic
Ovarian	ovary_FT	pelvic
Ovarian & uterine tumour	ovary_FT	pelvic
Ovarian mass	ovary_FT	pelvic
"Ovaries, omentum and tubes"	uncertain	uncertain
Ovary	ovary_FT	pelvic
Ovary; Fallopian Tube	ovary_FT	pelvic
Ovary; Fallopian Tube; Omentum	uncertain	uncertain
Ovary; Fallopian Tube; Uterus	gynae	pelvic
Ovary; Fallopian tube; Uterus	gynae	pelvic
Ovary; Fallopian Tube; Uterus; Cervix	gynae	pelvic
Ovary; Fallopian Tube; Uterus; Cervix; Rectum	pelvis	pelvic
Ovary; Fallopian Tube; Uterus; Peritoneum; Bladder	pelvis	pelvic
Para Aortic Node	lymph_node	lymph_node
Para-aortic Lymph Node	lymph_node	lymph_node
Paracolic Peritoneum	peritoneum	peritoneum
Para-rectal Lymph Nodule	lymph_node	lymph_node
Parasternal	chest	other
Para-sternal Mass	chest	other
Para-sternum	chest	other
Pelvic deposit	pelvis	pelvic
