Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Cyto	expected	ensembl
14	105235686	105262088	AKT1	14q32.33	AMP	ENSG00000142208
19	40736224	40791443	AKT2	19q13.2	AMP	ENSG00000105221
1	243651535	244014381	AKT3	1q44	AMP	ENSG00000117020
11	69455855	69469242	CCND1	11q13.3	AMP	ENSG00000110092
12	4382938	4414516	CCND2	12p13.32	AMP	ENSG00000118971
6	41902671	42018095	CCND3	6p21.1	AMP	ENSG00000112576
19	30302805	30315215	CCNE1	19q12	AMP	ENSG00000105173
9	21967751	21995300	CDKN2A	9p21.3	DEL	ENSG00000147889
9	22002902	22009362	CDKN2B	9p21.3	DEL	ENSG00000147883
12	25357723	25403870	KRAS	12p12.1	AMP	ENSG00000133703
3	168801287	169381406	MECOM	3q26.2	AMP	ENSG00000085276
8	128747680	128753674	MYC	8q24.21	AMP	ENSG00000136997
17	29421945	29709134	NF1	17q11.2	DEL	ENSG00000196712
3	178865902	178957881	PIK3CA	3q26.32	AMP	ENSG00000121879
10	89622870	89731687	PTEN	10q23.31	DEL	ENSG00000171862
13	48877887	49056122	RB1	13q14.2	DEL	ENSG00000139687
17	41196312	41277381	BRCA1	17q21.31	DEL	ENSG00000012048
13	32889645	32974405	BRCA2	13q13.1	DEL	ENSG00000139618
